sid,poe50y,Lon,Lat,Mag,poe
0,0.1,-74.60000000000001,-32.4,8.0,0.0
0,0.1,-74.60000000000001,-32.4,8.5,0.0
0,0.1,-74.60000000000001,-32.4,9.0,0.0
0,0.1,-74.60000000000001,-32.199999999999996,5.0,0.0
0,0.1,-74.60000000000001,-32.199999999999996,5.5,0.0
0,0.1,-74.60000000000001,-32.199999999999996,6.0,0.0
0,0.1,-74.60000000000001,-32.199999999999996,6.5,0.0
0,0.1,-74.60000000000001,-32.199999999999996,7.0,0.0
0,0.1,-74.60000000000001,-32.199999999999996,7.5,0.0
0,0.1,-74.60000000000001,-32.199999999999996,8.0,0.0
0,0.1,-74.60000000000001,-32.199999999999996,8.5,0.0
0,0.1,-74.60000000000001,-32.199999999999996,9.0,0.0
0,0.1,-74.60000000000001,-32.0,5.0,0.0
0,0.1,-74.60000000000001,-32.0,5.5,0.0
0,0.1,-74.60000000000001,-32.0,6.0,0.0
0,0.1,-74.60000000000001,-32.0,6.5,0.0
0,0.1,-74.60000000000001,-32.0,7.0,0.0
0,0.1,-74.60000000000001,-32.0,7.5,0.0
0,0.1,-74.60000000000001,-32.0,8.0,0.0
0,0.1,-74.60000000000001,-32.0,8.5,0.0
0,0.1,-74.60000000000001,-32.0,9.0,0.0
0,0.1,-74.60000000000001,-31.799999999999997,5.0,0.0
0,0.1,-74.60000000000001,-31.799999999999997,5.5,0.0
0,0.1,-74.60000000000001,-31.799999999999997,6.0,0.0
0,0.1,-74.60000000000001,-31.799999999999997,6.5,0.0
0,0.1,-74.60000000000001,-31.799999999999997,7.0,0.0
0,0.1,-74.60000000000001,-31.799999999999997,7.5,0.0
0,0.1,-74.60000000000001,-31.799999999999997,8.0,0.0
0,0.1,-74.60000000000001,-31.799999999999997,8.5,0.0
0,0.1,-74.60000000000001,-31.799999999999997,9.0,0.0
0,0.1,-74.60000000000001,-31.599999999999998,5.0,0.0
0,0.1,-74.60000000000001,-31.599999999999998,5.5,0.0
0,0.1,-74.60000000000001,-31.599999999999998,6.0,0.0
0,0.1,-74.60000000000001,-31.599999999999998,6.5,0.0
0,0.1,-74.60000000000001,-31.599999999999998,7.0,0.0
0,0.1,-74.60000000000001,-31.599999999999998,7.5,0.0
0,0.1,-74.60000000000001,-31.599999999999998,8.0,0.0
0,0.1,-74.60000000000001,-31.599999999999998,8.5,0.0
0,0.1,-74.60000000000001,-31.599999999999998,9.0,0.0
0,0.1,-74.60000000000001,-31.4,5.0,0.0
0,0.1,-74.60000000000001,-31.4,5.5,0.0
0,0.1,-74.60000000000001,-31.4,6.0,0.0
0,0.1,-74.60000000000001,-31.4,6.5,0.0
0,0.1,-74.60000000000001,-31.4,7.0,0.0
0,0.1,-74.60000000000001,-31.4,7.5,0.0
0,0.1,-74.60000000000001,-31.4,8.0,0.0
0,0.1,-74.60000000000001,-31.4,8.5,0.0
0,0.1,-74.60000000000001,-31.4,9.0,0.0
0,0.1,-74.60000000000001,-31.2,5.0,0.0
0,0.1,-74.60000000000001,-31.2,5.5,0.0
0,0.1,-74.60000000000001,-31.2,6.0,0.0
0,0.1,-74.60000000000001,-31.2,6.5,0.0
0,0.1,-74.60000000000001,-31.2,7.0,0.0
0,0.1,-74.60000000000001,-31.2,7.5,0.0
0,0.1,-74.60000000000001,-31.2,8.0,0.0
0,0.1,-74.60000000000001,-31.2,8.5,0.0
0,0.1,-74.60000000000001,-31.2,9.0,0.0
0,0.1,-74.60000000000001,-31.0,5.0,0.0
0,0.1,-74.60000000000001,-31.0,5.5,0.0
0,0.1,-74.60000000000001,-31.0,6.0,0.0
0,0.1,-74.60000000000001,-31.0,6.5,0.0
0,0.1,-74.60000000000001,-31.0,7.0,0.0
0,0.1,-74.60000000000001,-31.0,7.5,0.0
0,0.1,-74.60000000000001,-31.0,8.0,0.0
0,0.1,-74.60000000000001,-31.0,8.5,0.0
0,0.1,-74.60000000000001,-31.0,9.0,0.0
0,0.1,-74.60000000000001,-30.799999999999997,5.0,0.0
0,0.1,-74.60000000000001,-30.799999999999997,5.5,0.0
0,0.1,-74.60000000000001,-30.799999999999997,6.0,0.0
0,0.1,-74.60000000000001,-30.799999999999997,6.5,0.0
0,0.1,-74.60000000000001,-30.799999999999997,7.0,0.0
0,0.1,-74.60000000000001,-30.799999999999997,7.5,0.0
0,0.1,-74.60000000000001,-30.799999999999997,8.0,0.0
0,0.1,-74.60000000000001,-30.799999999999997,8.5,0.0
0,0.1,-74.60000000000001,-30.799999999999997,9.0,0.0
0,0.1,-74.60000000000001,-30.599999999999998,5.0,0.0
0,0.1,-74.60000000000001,-30.599999999999998,5.5,0.0
0,0.1,-74.60000000000001,-30.599999999999998,6.0,0.0
0,0.1,-74.60000000000001,-30.599999999999998,6.5,0.0
0,0.1,-74.60000000000001,-30.599999999999998,7.0,0.0
0,0.1,-74.60000000000001,-30.599999999999998,7.5,0.0
